time;x;y;z;w;velocidad;voltaje
16:24:24:327;16174;5757;6559;5391;DF;aDFbDFcDFdEF
16:24:24:345;16118;5708;6508;5338;DF;aDFbDFcDFdEF
16:24:24:347;16062;5658;6456;5285;DF;aDFbDFcDFdEF
16:24:24:357;16005;5608;6405;5232;DF;aDFbDFcDFdEF
16:24:24:367;15949;5558;6353;5179;DF;aDFbDFcDFdEF
16:24:24:377;15892;5508;6302;5126;DF;aDFbDFcDFdEF
16:24:24:388;15835;5458;6250;5072;DF;aDFbDFcDFdEF
16:24:24:397;15778;5408;6198;5019;DF;aDFbDFcDFdEF
16:24:24:407;15721;5358;6147;4965;DF;aDFbDFcDFdEF
16:24:24:417;15664;5307;6095;4911;DF;aDFbDFcDFdEF
16:24:24:427;15607;5256;6043;4857;DF;aDFbDFcDFdEF
16:24:24:437;15549;5205;5991;4803;DF;aDFbDFcDFdEF
16:24:24:447;15492;5154;5939;4749;DF;aDFbDFcDFdEF
16:24:24:458;15435;5103;5888;4695;DF;aDFbDFcDFdEF
16:24:24:468;15378;5052;5835;4641;DF;aDFbDFcDFdEF
16:24:24:477;15320;5000;5783;4586;DF;aDFbDFcDFdEF
16:24:24:487;15263;4949;5731;4532;DF;aDFbDFcDFdEF
16:24:24:497;15205;4897;5679;4478;DF;aDFbDFcDFdEF
16:24:24:511;15148;4846;5627;4423;DF;aDFbDFcDFdEF
16:24:24:517;15090;4794;5574;4369;DF;aDFbDFcDFdEF
16:24:24:527;15033;4742;5522;4314;DF;aDFbDFcDFdEF
16:24:24:537;14975;4690;5469;4259;DF;aDFbDFcDFdEF
16:24:24:547;14917;4639;5417;4205;DF;aDFbDFcDFdEF
16:24:24:560;14860;4587;5364;4150;DF;aDFbDFcDFdEF
16:24:24:567;14802;4535;5311;4095;DF;aDFbDFcDFdEF
16:24:24:577;14744;4483;5258;4040;DF;aDFbDFcDFdEF
16:24:24:587;14687;4432;5205;3986;DF;aDFbDFcDFdEF
16:24:24:597;14629;4380;5152;3931;DF;aDFbDFcDFdEF
16:24:24:611;14571;4328;5099;3877;DF;aDFbDFcDFdEF
16:24:24:617;14513;4275;5046;3823;DF;aDFbDFcDFdEF
16:24:24:627;14455;4223;4993;3769;DF;aDFbDFcDFdEF
16:24:24:637;14397;4171;4940;3716;DF;aDFbDFcDFdEF
16:24:24:647;14339;4119;4886;3662;DF;aDFbDFcDFdEF
16:24:24:660;14281;4067;4833;3608;DF;aDFbDFcDFdEF
16:24:24:667;14223;4015;4780;3554;DF;aDFbDFcDFdEF
16:24:24:677;14165;3962;4727;3500;DF;aDFbDFcDFdEF
16:24:24:687;14107;3910;4677;3445;DF;aDFbDFcDFdEF
16:24:24:697;14049;3858;4629;3391;DF;aDFbDFcDFdEF
16:24:24:707;13991;3805;4583;3337;DF;aDFbDFcDFdEF
